Mean_Accuracy,Std Dev of Accuracy,Mean Macro F1-score,experiment,conv_filters,kernel_size,fc_size,dropout,lr,batch_size,epochs
0.9884983542731266,0.0012110169192521261,0.9795446262770549,1,"[32, 64]",3,64,0.3,0.001,64,20
0.9904593093496924,0.0029954980530466353,0.9830945680069381,2,"[64, 128]",5,128,0.4,0.001,64,20
0.9894137284785458,0.002312578084851849,0.9810426480971255,3,"[128, 256]",3,64,0.5,0.0005,32,25
0.9887593652745228,0.0017257523750097963,0.9800985130860536,4,"[32, 32]",3,32,0.2,0.001,64,20
0.9871915062563236,0.0023218355167928433,0.9770935026238888,5,"[16, 32]",3,32,0.2,0.01,128,15
0.9924196667563173,0.001919124347730679,0.9868750673115825,6,"[256, 512]",5,128,0.5,0.0001,32,30
