Mean_Accuracy,Std Dev of Accuracy,Mean Macro F1-score,experiment,conv_filters,kernel_size,fc_size,dropout,lr,batch_size,epochs
0.9925298044615527,0.003088379802510769,0.9925298271452606,1,"[32, 64]",3,64,0.3,0.001,64,20
0.9965850872221209,0.0011114246085230392,0.9965849055400475,2,"[64, 128]",5,128,0.4,0.001,64,20
0.9945040626984698,0.0009483591867564732,0.994503524900936,3,"[128, 256]",3,64,0.5,0.0005,32,25
0.9935968552837855,0.002011005915520775,0.9935964535513919,4,"[32, 32]",3,32,0.2,0.001,64,20
0.993383521980817,0.0007035702625486422,0.9933829173962476,5,"[16, 32]",3,32,0.2,0.01,128,15
0.9967451441337755,0.0008502595721711679,0.9967448709395648,6,"[256, 512]",5,128,0.5,0.0001,32,30
